,,,,,android_avg_rating,android_file_size,android_rating_1,android_rating_2,android_rating_3,android_rating_4,android_rating_5,android_total_ratings,ios_all_ratings,ios_current_ratings,ios_file_size
2016,7,21,7,30,3.8970937728881836,58.0,201095.0,71943.0,118795.0,167748.0,732956.0,1292537.0,107460.0,5668.0,110.0
2016,7,21,7,40,3.8970937728881836,58.0,201095.0,71943.0,118795.0,167748.0,732956.0,1292537.0,107460.0,5668.0,110.0
2016,7,21,7,50,3.8970937728881836,58.0,201095.0,71943.0,118795.0,167748.0,732956.0,1292537.0,107460.0,5668.0,110.0
2016,7,21,8,0,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,8,10,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,8,20,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,8,30,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,8,40,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,8,50,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,9,0,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,9,10,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,9,20,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,9,30,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
